Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YOR003W,YSP3,,0.4225,0.016,0.91031,0.037,-0.49055,0.016,0.00046
NAHCO3,NAHCO3,YOR002W,ALG6,,1.25457,0.051,0.90741,0.041,0.33714,0.051,0.00002
NAHCO3,NAHCO3,YOR001W,RRP6,,0.76078,0.057,0.75248,0.018,0.00098,0.057,0.00012
NAHCO3,NAHCO3,YOL163W,YOL163W,,1.39693,0.029,0.99049,0.061,0.41036,0.029,0
NAHCO3,NAHCO3,YOL162W,YOL162W,,0.54082,0.127,1.01883,0.037,-0.47611,0.127,0.00339
NAHCO3,NAHCO3,YOL160W,YOL160W,,1.18147,0.163,1.03187,0.021,0.15518,0.163,0.00071
NAHCO3,NAHCO3,YOL159C,YOL159C,,1.45702,0.07,0.98459,0.003,0.46979,0.07,0.00003
NAHCO3,NAHCO3,YOL158C,ENB1,,1.10457,0.053,1.02848,0.02,0.07913,0.054,0.00003
NAHCO3,NAHCO3,YOL155C,HPF1,,1.8162,0.113,1.18501,0.023,0.64001,0.113,0.00007
NAHCO3,NAHCO3,YOR016C,ERP4,,1.5133,0.267,1.04234,0.04,0.48012,0.267,0.00147
NAHCO3,NAHCO3,YOR015W,YOR015W,,1.1591,0.006,0.97846,0.024,0.18417,0.006,0.00001
NAHCO3,NAHCO3,YOR014W,RTS1,,0.30647,0.022,0.80906,0.031,-0.49937,0.022,0.00177
NAHCO3,NAHCO3,YOR013W,YOR013W,,1.34449,0.013,0.96458,0.009,0.38222,0.013,0.00003
NAHCO3,NAHCO3,YOR012W,YOR012W,,0.76655,0.178,0.98382,0.007,-0.22039,0.179,0.00331
NAHCO3,NAHCO3,YOR011W,AUS1,,0.71877,0.029,0.93274,0.034,-0.22003,0.029,0.00002
NAHCO3,NAHCO3,YOR010C,TIR2,,1.24623,0.066,1.00852,0.011,0.23772,0.066,0.00004
NAHCO3,NAHCO3,YOR009W,TIR4,,1.09637,0.059,1.00019,0.017,0.09459,0.06,0.00004
NAHCO3,NAHCO3,YOR008C-A,YOR008C-A,,0.25862,0.013,0.94439,0.025,-0.68711,0.013,0.00078
NAHCO3,NAHCO3,YOR007C,SGT2,,0.54649,0.066,0.68753,0.051,-0.13699,0.066,0.00047
NAHCO3,NAHCO3,YOR028C,CIN5,,1.15843,0.173,0.88353,0.017,0.27258,0.174,0.00091
NAHCO3,NAHCO3,YOR027W,STI1,,0.5722,0.086,0.94227,0.02,-0.37581,0.086,0.00738
NAHCO3,NAHCO3,YOR026W,BUB3,,0.22678,0.008,0.71624,0.003,-0.4917,0.008,0.00001
NAHCO3,NAHCO3,YOR025W,HST3,,1.19827,0.153,1.04953,0.071,0.15412,0.153,0.00056
NAHCO3,NAHCO3,YOR024W,YOR024W,,1.09787,0.011,1.02725,0.001,0.06862,0.011,0
NAHCO3,NAHCO3,YOR023C,AHC1,,1.00769,0.034,1.03917,0.013,-0.03154,0.034,0.00001
NAHCO3,NAHCO3,YOR022C,YOR022C,,1.07182,0.053,1.02442,0.012,0.04294,0.053,0.00003
NAHCO3,NAHCO3,YOR021C,SFM1,,0.92259,0.078,1.00387,0.002,-0.08366,0.078,0.00016
NAHCO3,NAHCO3,YOR019W,YOR019W,,1.0392,0.005,1.04839,0.014,-0.01284,0.005,0.00001
NAHCO3,NAHCO3,YOR018W,ROD1,,0.66745,0.145,1.00041,0.005,-0.33286,0.145,0.00269
NAHCO3,NAHCO3,YOR017W,PET127,,0.97534,0.016,0.96089,0.028,0.00653,0.016,0.00009
NAHCO3,NAHCO3,YOR040W,GLO4,,1.31127,0.073,0.90254,0.008,0.41178,0.073,0.00005
NAHCO3,NAHCO3,YOR039W,CKB2,,0.65389,0.042,0.91308,0.023,-0.26111,0.042,0.00007
NAHCO3,NAHCO3,YOR038C,HIR2,,1.24105,0.037,1.01349,0.017,0.22625,0.037,0.00001
NAHCO3,NAHCO3,YOR037W,CYC2,,0.66229,0.078,0.91317,0.02,-0.24744,0.079,0.00045
NAHCO3,NAHCO3,YOR034C,AKR2,,1.13302,0.035,1.03323,0.017,0.098,0.035,0.00032
NAHCO3,NAHCO3,YOR033C,EXO1,,1.25685,0.016,0.91925,0.012,0.33943,0.016,0.00006
NAHCO3,NAHCO3,YOR032C,HMS1,,1.3131,0.027,1.10435,0.018,0.21064,0.027,0
NAHCO3,NAHCO3,YOR031W,CRS5,,0.88302,0.027,1.06888,0.007,-0.18656,0.027,0.00001
NAHCO3,NAHCO3,YOR029W,YOR029W,,0.5026,0.063,0.90754,0.058,-0.3999,0.063,0.00054
NAHCO3,NAHCO3,YOR053W,YOR053W,,1.22663,0.025,0.90562,0.017,0.31626,0.025,0
NAHCO3,NAHCO3,YOR052C,YOR052C,,0.7604,0.063,0.97657,0.005,-0.21751,0.063,0.00015
NAHCO3,NAHCO3,YOR051C,ETT1,,0.47169,0.012,0.95187,0.005,-0.48326,0.012,0.00022
NAHCO3,NAHCO3,YOR050C,YOR050C,,0.72218,0.051,1.00085,0.006,-0.27786,0.051,0.0001
NAHCO3,NAHCO3,YOR049C,RSB1,,0.66218,0.01,1.04266,0.022,-0.37845,0.01,0.00008
NAHCO3,NAHCO3,YOR047C,STD1,,0.46001,0.099,1.02795,0.005,-0.5714,0.099,0.00263
NAHCO3,NAHCO3,YOR045W,TOM6,,0.94466,0.045,0.97589,0.039,-0.03484,0.045,0.00003
NAHCO3,NAHCO3,YOR044W,IRC23,,0.73556,0.026,0.96979,0.006,-0.23619,0.027,0.00001
NAHCO3,NAHCO3,YOR043W,WHI2,,1.11859,0.028,1.01554,0.019,0.10294,0.028,0
NAHCO3,NAHCO3,YOR042W,CUE5,,0.67341,0.05,0.96735,0.071,-0.28461,0.05,0.00181
NAHCO3,NAHCO3,YOR041C,YOR041C,,0.71474,0.028,0.87445,0.079,-0.17173,0.028,0.00002
NAHCO3,NAHCO3,YOR069W,VPS5,,0.28554,0.063,1.10611,0.003,-0.82179,0.063,0.00278
NAHCO3,NAHCO3,YOR068C,VAM10,,0.58623,0.044,0.94406,0.036,-0.36625,0.044,0.00012
NAHCO3,NAHCO3,YOR067C,ALG8,,0.89165,0.07,1.0157,0.038,-0.1186,0.07,0.00013
NAHCO3,NAHCO3,YOR066W,MSA1,,0.35933,0.056,0.9087,0.028,-0.55035,0.057,0.00105
NAHCO3,NAHCO3,YOR065W,CYT1,,0.64874,0.046,0.73797,0.014,-0.09077,0.046,0.0001
NAHCO3,NAHCO3,YOR064C,YNG1,,0.49374,0.08,0.90117,0.04,-0.41795,0.08,0.00115
NAHCO3,NAHCO3,YOR062C,YOR062C,,1.50839,0.03,1.04081,0.031,0.46196,0.03,0
NAHCO3,NAHCO3,YOR061W,CKA2,,1.0821,0.052,0.99563,0.009,0.08509,0.052,0.00003
NAHCO3,NAHCO3,YOR059C,YOR059C,,1.25506,0.044,1.04359,0.015,0.20943,0.044,0.00001
NAHCO3,NAHCO3,YOR058C,ASE1,,0.20349,0.011,0.99221,0.065,-0.80064,0.011,0.00091
NAHCO3,NAHCO3,YOR055W,YOR055W,,0.82597,0.025,0.85659,0.045,-0.02533,0.025,0.00031
NAHCO3,NAHCO3,YOR084W,LPX1,,0.89608,0.09,1.5213,0.205,-0.62594,0.09,0.00028
NAHCO3,NAHCO3,YOR083W,WHI5,,0.81028,0.012,1.03714,0.087,-0.2339,0.012,0.00007
NAHCO3,NAHCO3,YOR082C,YOR082C,,0.84482,0.068,0.92159,0.02,-0.07574,0.068,0.00014
NAHCO3,NAHCO3,YOR081C,TGL5,,1.47376,0.068,1.09463,0.05,0.36671,0.068,0.00003
NAHCO3,NAHCO3,YOR080W,DIA2,,0.86927,0.03,0.92263,0.057,-0.04789,0.03,0.00001
NAHCO3,NAHCO3,YOR079C,ATX2,,0.70498,0.008,0.97698,0.007,-0.27225,0.008,0.00004
NAHCO3,NAHCO3,YOR078W,BUD21,,0.56126,0.062,0.77862,0.028,-0.21999,0.062,0.00403
NAHCO3,NAHCO3,YOR076C,SKI7,,1.16728,0.011,1.01856,0.033,0.14242,0.011,0.00003
NAHCO3,NAHCO3,YOR072W,YOR072W,,1.19536,0.057,0.92959,0.029,0.26445,0.057,0.00003
NAHCO3,NAHCO3,YOR071C,NRT1,,1.46566,0.161,0.97831,0.033,0.49,0.161,0.00036
NAHCO3,NAHCO3,YOR070C,GYP1,,0.79247,0.118,1.08538,0.018,-0.30514,0.118,0.00088
NAHCO3,NAHCO3,YOR097C,YOR097C,,0.92856,0.022,1.11241,0.018,-0.18773,0.022,0
NAHCO3,NAHCO3,YOR094W,ARF3,,1.06969,0.03,0.97581,0.006,0.09135,0.03,0.00026
NAHCO3,NAHCO3,YOR093C,YOR093C,,1.11476,0.037,0.91199,0.021,0.19862,0.037,0.00001
NAHCO3,NAHCO3,YOR092W,ECM3,,0.6313,0.001,0.80272,0.033,-0.16622,0.001,0
NAHCO3,NAHCO3,YOR091W,TMA46,,1.28387,0.093,0.98759,0.027,0.29342,0.093,0.0001
NAHCO3,NAHCO3,YOR090C,PTC5,,0.75746,0.071,0.98607,0.031,-0.22224,0.071,0.00023
NAHCO3,NAHCO3,YOR089C,VPS21,,1.02825,0.075,1.03307,0.062,-0.01793,0.075,0.00179
NAHCO3,NAHCO3,YOR088W,YOR088W,,0.56226,0.004,0.92204,0.039,-0.3714,0.004,0.00001
NAHCO3,NAHCO3,YOR087W,YVC1,,0.94009,0.037,1.03176,0.129,-0.06691,0.037,0.00052
NAHCO3,NAHCO3,YOR086C,TCB1,,0.64527,0.114,0.99307,0.013,-0.34618,0.115,0.0015
NAHCO3,NAHCO3,YOR085W,OST3,,0.88287,0.043,1.07457,0.006,-0.19169,0.043,0.00003
NAHCO3,NAHCO3,YOR112W,CEX1,,1.18372,0.032,1.00583,0.015,0.17785,0.032,0.00025
NAHCO3,NAHCO3,YOR111W,YOR111W,,1.02395,0.045,0.98844,0.007,0.03787,0.045,0.00002
NAHCO3,NAHCO3,YOR109W,INP53,,0.97547,0.09,1.05568,0.012,-0.0838,0.09,0.00022
NAHCO3,NAHCO3,YOR108W,LEU9,,0.71543,0.059,0.95794,0.016,-0.24242,0.059,0.00015
NAHCO3,NAHCO3,YOR107W,RGS2,,0.81869,0.055,0.96796,0.015,-0.15004,0.055,0.00008
NAHCO3,NAHCO3,YOR106W,VAM3,,1.22772,0.076,1.04637,0.008,0.17547,0.076,0.00007
NAHCO3,NAHCO3,YOR105W,YOR105W,,1.1427,0.058,0.99283,0.018,0.14857,0.058,0.00004
NAHCO3,NAHCO3,YOR104W,PIN2,,1.16678,0.097,1.03053,0.02,0.13694,0.097,0.00016
NAHCO3,NAHCO3,YOR101W,RAS1,,1.16563,0.099,1.10583,0.03,0.06627,0.099,0.00017
NAHCO3,NAHCO3,YOR100C,CRC1,,1.22336,0.07,1.01433,0.032,0.20396,0.071,0.00005
NAHCO3,NAHCO3,YOR099W,KTR1,,1.46912,0.038,1.12691,0.054,0.32917,0.038,0.00022
NAHCO3,NAHCO3,YOR129C,AFI1,,1.31017,0.062,0.94412,0.053,0.35783,0.062,0.00003
NAHCO3,NAHCO3,YOR127W,RGA1,,1.15222,0.066,1.04896,0.042,0.09346,0.066,0.00005
NAHCO3,NAHCO3,YOR126C,IAH1,,1.12489,0.028,1.03889,0.024,0.0801,0.028,0
NAHCO3,NAHCO3,YOR124C,UBP2,,0.82125,0.053,0.94394,0.001,-0.12388,0.053,0.00007
NAHCO3,NAHCO3,YOR123C,LEO1,,0.54393,0.009,0.84954,0.034,-0.3115,0.009,0
NAHCO3,NAHCO3,YOR121C,YOR121C,,1.04727,0.024,1.01434,0.031,0.03758,0.024,0
NAHCO3,NAHCO3,YOR120W,GCY1,,0.92167,0.003,0.95084,0.022,-0.03656,0.003,0
NAHCO3,NAHCO3,YOR118W,RTC5,,0.99984,0.009,1.04962,0.02,-0.04666,0.009,0.00003
NAHCO3,NAHCO3,YOR115C,TRS33,,0.94436,0.021,1.04315,0.03,-0.10044,0.021,0.00016
NAHCO3,NAHCO3,YOR114W,YOR114W,,0.99321,0.052,1.00938,0.04,-0.02294,0.052,0.00004
NAHCO3,NAHCO3,YOR113W,AZF1,,1.2574,0.184,1.03648,0.008,0.21973,0.184,0.00085
NAHCO3,NAHCO3,YOR141C,ARP8,,0.27166,0.022,0.93999,0.035,-0.66338,0.022,0.00222
