Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YGL241W,KAP114,,1.02672,0.021,1.03778,0.047,-0.00256,0.021,0
NAHCO3,NAHCO3,YGL237C,HAP2,,0.63817,0.025,0.80276,0.031,-0.16667,0.025,0.00002
NAHCO3,NAHCO3,YGL236C,MTO1,,0.68975,0.023,0.90489,0.05,-0.20108,0.023,0.00001
NAHCO3,NAHCO3,YGL235W,YGL235W,,0.97841,0.038,0.80793,0.005,0.17047,0.038,0.00002
NAHCO3,NAHCO3,YGL234W,ADE5,,0.9539,0.008,0.98243,0.006,-0.02723,0.008,0
NAHCO3,NAHCO3,YGL232W,TAN1,,0.80103,0.016,0.99195,0.026,-0.19809,0.016,0
NAHCO3,NAHCO3,YGL231C,EMC4,,1.01199,0.039,1.09822,0.033,-0.08021,0.039,0.00048
NAHCO3,NAHCO3,YGL230C,YGL230C,,1.13785,0.029,1.03434,0.018,0.10008,0.029,0
NAHCO3,NAHCO3,YGL229C,SAP4,,0.85789,0.076,1.14171,0.014,-0.28779,0.076,0.00019
NAHCO3,NAHCO3,YGL257C,MNT2,,1.01684,0.018,1.07476,0.055,-0.04553,0.018,0.00011
NAHCO3,NAHCO3,YGL256W,ADH4,,0.78499,0.084,0.81092,0.044,-0.01552,0.084,0.00034
NAHCO3,NAHCO3,YGL254W,FZF1,,1.08902,0.028,1.02309,0.036,0.06551,0.028,0
NAHCO3,NAHCO3,YGL253W,HXK2,,1.25929,0.076,0.95275,0.02,0.30546,0.076,0.00006
NAHCO3,NAHCO3,YGL252C,RTG2,,0.96436,0.025,0.98039,0.008,-0.01357,0.025,0
NAHCO3,NAHCO3,YGL251C,HFM1,,0.99409,0.12,1.06596,0.022,-0.07419,0.12,0.00048
NAHCO3,NAHCO3,YGL250W,RMR1,,0.81189,0.054,1.00285,0.004,-0.19003,0.054,0.00008
NAHCO3,NAHCO3,YGL249W,ZIP2,,0.77602,0.004,0.97753,0.016,-0.20202,0.004,0.00001
NAHCO3,NAHCO3,YGL248W,PDE1,,0.69279,0.036,1.00685,0.039,-0.30582,0.036,0.00004
NAHCO3,NAHCO3,YGL244W,RTF1,,0.29454,0.025,0.59032,0.035,-0.2905,0.025,0.00017
NAHCO3,NAHCO3,YGR008C,STF2,,1.13913,0.013,1.04921,0.031,0.09572,0.013,0.00004
NAHCO3,NAHCO3,YGR007W,ECT1,,1.43002,0.016,1.06224,0.038,0.36782,0.016,0.00004
NAHCO3,NAHCO3,YGR004W,PEX31,,0.77147,0.059,1.06583,0.033,-0.31309,0.059,0.00012
NAHCO3,NAHCO3,YGR003W,CUL3,,0.91227,0.029,0.99904,0.027,-0.0874,0.029,0.00001
NAHCO3,NAHCO3,YGR001C,YGR001C,,0.94283,0.024,1.01059,0.01,-0.06741,0.024,0
NAHCO3,NAHCO3,YGL263W,COS12,,0.92464,0.038,0.98715,0.022,-0.06736,0.038,0.00002
NAHCO3,NAHCO3,YGL262W,YGL262W,,1.25204,0.052,0.98633,0.04,0.2673,0.052,0.00002
NAHCO3,NAHCO3,YGL261C,PAU11,,1.26322,0.025,1.01521,0.044,0.24532,0.025,0
NAHCO3,NAHCO3,YGL260W,YGL260W,,0.85348,0.031,0.99421,0.041,-0.14359,0.031,0.00001
NAHCO3,NAHCO3,YGL259W,YPS5,,0.7743,0.058,0.9417,0.05,-0.16096,0.058,0.00012
NAHCO3,NAHCO3,YGL258W,VEL1,,0.7553,0.013,0.99086,0.025,-0.23033,0.013,0
NAHCO3,NAHCO3,YGR022C,YGR022C,,1.18778,0.036,1.03489,0.057,0.13791,0.036,0.00001
NAHCO3,NAHCO3,YGR021W,YGR021W,,1.09894,0.011,1.04406,0.016,0.0502,0.011,0.00003
NAHCO3,NAHCO3,YGR019W,UGA1,,1.05495,0.05,0.93949,0.013,0.11874,0.05,0.00003
NAHCO3,NAHCO3,YGR018C,YGR018C,,1.08152,0.037,0.96292,0.05,0.11597,0.037,0.00001
NAHCO3,NAHCO3,YGR017W,YGR017W,,1.24184,0.1,0.99047,0.009,0.24684,0.1,0.00014
NAHCO3,NAHCO3,YGR016W,YGR016W,,1.19418,0.041,1.01785,0.003,0.17727,0.041,0.00001
NAHCO3,NAHCO3,YGR015C,YGR015C,,1.03732,0.006,1.00093,0.027,0.03324,0.006,0.00001
NAHCO3,NAHCO3,YGR014W,MSB2,,0.86771,0.061,1.08361,0.018,-0.21976,0.061,0.0001
NAHCO3,NAHCO3,YGR012W,YGR012W,,0.92286,0.005,1.00366,0.047,-0.07376,0.005,0.00001
NAHCO3,NAHCO3,YGR011W,YGR011W,,1.26596,0.008,1.04896,0.052,0.22541,0.008,0
NAHCO3,NAHCO3,YGR010W,NMA2,,1.03499,0.023,0.98482,0.039,0.04171,0.023,0
NAHCO3,NAHCO3,YGR037C,ACB1,,0.67958,0.069,1.15538,0.131,-0.47133,0.069,0.00028
NAHCO3,NAHCO3,YGR035C,YGR035C,,1.09704,0.019,1.04788,0.013,0.04847,0.019,0.0001
NAHCO3,NAHCO3,YGR034W,RPL26B,,1.00963,0.012,1.02991,0.077,-0.0172,0.012,0.00005
NAHCO3,NAHCO3,YGR033C,TIM21,,1.17534,0.013,1.00895,0.047,0.16858,0.013,0.00004
NAHCO3,NAHCO3,YGR032W,GSC2,,1.39888,0.039,1.03938,0.019,0.36321,0.039,0.00001
NAHCO3,NAHCO3,YGR031W,IMO32,,0.83978,0.055,0.95509,0.033,-0.11802,0.055,0.00008
NAHCO3,NAHCO3,YGR028W,MSP1,,1.18649,0.055,0.97447,0.026,0.21646,0.055,0.00003
NAHCO3,NAHCO3,YGR027C,RPS25A,,1.11461,0.042,0.92469,0.039,0.18441,0.042,0.00001
NAHCO3,NAHCO3,YGR026W,YGR026W,,1.20725,0.023,0.98968,0.052,0.22754,0.023,0
NAHCO3,NAHCO3,YGR025W,YGR025W,,1.15967,0.051,0.97509,0.027,0.17644,0.051,0.00002
NAHCO3,NAHCO3,YGR023W,MTL1,,1.0885,0.043,1.01841,0.035,0.07189,0.043,0.00002
NAHCO3,NAHCO3,YGR051C,YGR051C,,1.26137,0.011,1.1269,0.042,0.12896,0.011,0.00003
NAHCO3,NAHCO3,YGR050C,YGR050C,,1.09867,0.042,0.98595,0.033,0.11897,0.042,0.00001
NAHCO3,NAHCO3,YGR049W,SCM4,,0.80635,0.017,0.92158,0.029,-0.10965,0.017,0.00015
NAHCO3,NAHCO3,YGR045C,YGR045C,,0.97803,0.061,0.96183,0.013,0.0231,0.061,0.00007
NAHCO3,NAHCO3,YGR044C,RME1,,0.82436,0.029,0.95947,0.008,-0.1364,0.029,0.00001
NAHCO3,NAHCO3,YGR043C,NQM1,,0.73873,0.005,1.01114,0.042,-0.27791,0.005,0.00001
NAHCO3,NAHCO3,YGR042W,YGR042W,,0.95823,0.045,0.98263,0.014,-0.02187,0.045,0.00003
NAHCO3,NAHCO3,YGR041W,BUD9,,0.84073,0.036,0.93989,0.013,-0.09827,0.036,0.00002
NAHCO3,NAHCO3,YGR040W,KSS1,,1.27121,0.077,1.01566,0.039,0.26502,0.077,0.00006
NAHCO3,NAHCO3,YGR039W,YGR039W,,0.90831,0.085,1.17691,0.011,-0.26865,0.085,0.00023
NAHCO3,NAHCO3,YGR038W,ORM1,,1.24788,0.098,1.37761,0.018,-0.12299,0.098,0.00013
NAHCO3,NAHCO3,YGR077C,PEX8,,1.2522,0.015,0.91723,0.026,0.3427,0.015,0
NAHCO3,NAHCO3,YGR072W,UPF3,,1.10647,0.054,0.97238,0.023,0.12948,0.054,0.00003
NAHCO3,NAHCO3,YGR071C,ENV11,,1.13647,0.064,1.07148,0.068,0.08253,0.064,0.00005
